terminal,date,total,cumulativeCount
Westridge,2024-05-19,1,1
Westridge,2024-05-20,1,2
Westridge,2024-05-23,1,3
Westridge,2024-05-25,2,5
Westridge,2024-06-02,1,6
Westridge,2024-06-03,2,8
Westridge,2024-06-05,2,10
Westridge,2024-06-06,1,11
Westridge,2024-06-10,2,13
Westridge,2024-06-14,1,14
Westridge,2024-06-15,1,15
Westridge,2024-06-17,2,17
Westridge,2024-06-20,1,18
Westridge,2024-06-23,2,20
Westridge,2024-06-24,2,22
Westridge,2024-06-27,1,23
Westridge,2024-06-29,1,24
Westridge,2024-07-02,1,25
Westridge,2024-07-03,1,26
Westridge,2024-07-04,1,27
Suncor,2024-06-09,1,1
Suncor,2024-06-19,1,2
Suncor,2024-06-26,1,3
,,1,1
